no,song,song_kana_old,song_kana,author,author_kana
1,秋の田の　かりほの庵（いお）の　苫（とま）をあらみ　わが衣手（ころもで）は　露（つゆ）にぬれつつ,あきのたの　かりほのいおの　とまをあらみ　わがころもでは　つゆにぬれつつ,あきのたの　かりほのいほの　とまをあらみ　わがころもでは　つゆにぬれつつ,天智天皇,てんじてんのう
2,春すぎて　夏来にけらし　白妙（しろたえ）の　衣（ころも）ほすてふ（ちょう）　天（あま）の香具山（かぐやま）,はるすぎて　なつきにけらし　しろたえの　ころもほすちょう　あまのかぐやま,はるすぎて　なつきにけらし　しろたへの　ころもほすてふ　あまのかぐやま,持統天皇,じとうてんのう
3,あしびきの　山鳥の尾（お）の　しだり尾の　ながながし夜を　ひとりかも寝む（ん）,あしびきの　やまどりのおの　しだりおの　ながながしよを　ひとりかもねん,あしびきの　やまどりのをの　しだりをの　ながながしよを　ひとりかもねむ,柿本人麻呂,かきのもとのひとまろ
4,田子（たご）の浦（うら）に　うちいでて見れば　白妙（しろたえ）の　富士（ふじ）の高嶺（たかね）に　雪はふりつつ,たごのうらに　うちいでてみれば　しろたえの　ふじのたかねに　ゆきはふりつつ,たごのうらに　うちいでてみれば　しろたへの　ふじのたかねに　ゆきはふりつつ,山部赤人,やまべのあかひと
5,奥山（おくやま）に　もみぢ（じ）ふみわけ　なく鹿（しか）の　声聞く時ぞ　秋はかなしき,おくやまに　もみじふみわけ　なくしかの　こえきくときぞ　あきはかなしき,おくやまに　もみぢふみわけ　なくしかの　こゑきくときぞ　あきはかなしき,猿丸大夫,さるまるだゆう
6,かささぎの　渡（わた）せる橋に　おく霜（しも）の　白きをみれば　夜ぞふけにける,かささぎの　わたせるはしに　おくしもの　しろきをみれば　よぞふけにける,かささぎの　わたせるはしに　おくしもの　しろきをみれば　よぞふけにける,中納言家持,ちゅうなごんやかもち
7,天（あま）の原　ふりさけ見れば　春日（かすが）なる　三笠（みかさ）の山に　いでし月かも,あまのはら　ふりさけみれば　かすがなる　みかさのやまに　いでしつきかも,あまのはら　ふりさけみれば　かすがなる　みかさのやまに　いでしつきかも,阿倍仲麻呂,あべのなかまろ
8,わが庵（いお）は　都のたつみ　しかぞすむ　世をうぢ（じ）山と　人はいふ（う）なり,わがいおは　みやこのたつみ　しかぞすむ　よをうじやまと　ひとはいうなり,わがいほは　みやこのたつみ　しかぞすむ　よをうぢやまと　ひとはいふなり,喜撰法師,きせんほうし
9,花の色は　うつりにけりな　いたづ（ず）らに　わが身よにふる　ながめせしまに,はなのいろは　うつりにけりな　いたずらに　わがみよにふる　ながめせしまに,はなのいろは　うつりにけりな　いたづらに　わがみよにふる　ながめせしまに,小野小町,おののこまち
10,これやこの　行くも帰るも　わかれては　しるもしらぬも　あふ（おう）さかの関（せき）,これやこの　ゆくもかえるも　わかれては　しるもしらぬも　おうさかのせき,これやこの　ゆくもかへるも　わかれては　しるもしらぬも　あふさかのせき,蝉丸,せみまる
11,わたの原　八十島（やそしま）かけて　こぎいでぬと　人にはつげよ　あまのつり舟（ぶね）,わたのはら　やそしまかけて　こぎいでぬと　ひとにはつげよ　あまのつりぶね,わたのはら　やそしまかけて　こぎいでぬと　ひとにはつげよ　あまのつりぶね,参議篁,さんぎたかむら
12,天（あま）つ風　雲のかよひ（い）路（じ）　吹（ふ）きとぢ（じ）よ　を（お）とめの姿　しばしとどめむ（ん）,あまつかぜ　くものかよいじ　ふきとじよ　おとめのすがた　しばしとどめん,あまつかぜ　くものかよひぢ　ふきとぢよ　をとめのすがた　しばしとどめむ,僧正遍昭,そうじょうへんじょう
13,つくばねの　峰（みね）よりおつる　みなの川　恋い（こい）ぞつもりて　淵（ふち）となりぬる,つくばねの　みねよりおつる　みなのがわ　こいぞつもりて　ふちとなりぬる,つくばねの　みねよりおつる　みなのがは　こひぞつもりて　ふちとなりぬる,陽成院,ようぜいいん
14,みちのくの　しのぶもぢ（じ）ずり　誰（たれ）ゆえに　みだれそめにし　われならなくに,みちのくの　しのぶもじずり　たれゆえに　みだれそめにし　われならなくに,みちのくの　しのぶもぢずり　たれゆゑに　みだれそめにし　われならなくに,河原左大臣,かわらのさだいじん
15,君がため　春の野にいでて　若菜（わかな）つむ　わが衣手（ころもで）に　雪はふりつつ,きみがため　はるののにいでて　わかなつむ　わがころもでに　ゆきはふりつつ,きみがため　はるののにいでて　わかなつむ　わがころもでに　ゆきはふりつつ,光孝天皇,こうこうてんのう
